playerID,career_G_zsum,career_AB_zsum,career_R_zsum,career_H_zsum,career_2B_zsum,career_3B_zsum,career_HR_zsum,career_RBI_zsum,career_SB_zsum,career_BB_zsum,career_SO_zsum
williac01,-1.9299637850664961,-1.555838679684842,-1.3257615465639185,-1.426059342243689,-1.3035418387937852,-1.0693470560471134,-0.8662018555311296,-1.2914084020115288,-0.8743898774426557,-1.267016833858464,-1.614554004253081
willial01,-1.069957154805047,-0.841259406390151,-0.712026839419478,-0.7636700017647361,-0.6984247827983158,-0.5812595799572261,-0.42204057054159466,-0.708145267432372,-0.5071181066968053,-0.6817036267341364,-0.9220482665086794
willial02,-1.1769986412699536,-1.4007075876871302,-1.408349955065506,-1.4589024740953422,-1.3851826280774306,-1.1589817841086867,-0.8617978523027408,-1.3290835370089755,-0.9709320439062492,-1.2172411756894648,-0.5714194644373444
willial03,-3.2508191154932726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willian01,-0.598006933756022,-0.4461470070870238,-0.5895369726940701,-0.48310746963751716,-0.3769029913530918,-0.4801335683695298,-0.512372690956265,-0.4185153735378415,-0.4054381653990614,-0.43948663111934416,-0.5263746389093191
williar01,0.02193809099156943,-0.04038031332727081,-0.16819076545466932,-0.14217323118434302,-0.36994565232783977,-0.616173241699129,-0.4346026745565424,-0.1753331847291492,0.3360629095322001,0.18326436141462793,0.0
willibe01,-2.419101156095566,-2.281046362858702,-1.820809895065353,-2.267487249259764,-1.9932269543907286,-1.4456649748884722,-1.3686861007176758,-2.0237856191014982,-1.0632204621221784,-1.6798658720238766,-1.4885962340099526
willibe02,27.75386332103232,30.795841301621707,36.65749487077395,33.324597564161465,31.56464290980643,24.996900349888264,26.964146475939554,33.69443687088165,15.293026332612738,38.823611230857246,24.14823178086223
willibi01,30.876438966934845,35.38698588759304,41.800244946399744,39.28437293112633,38.666464550929874,35.47398982969436,53.795397756172406,46.994948964601136,9.852977963814105,37.38026720225651,21.270896320596023
willibi02,-1.0367379372346874,-0.7145373602053332,-0.6089557323874993,-0.6911263317927416,-0.6372463396245536,-0.5258766126558206,-0.46572811697946953,-0.6210612878002466,-0.32548487571399837,-0.5970137801317917,-0.7395500220000797
willibo01,-1.7847873958299347,-1.6694518563071479,-1.5945962587355764,-1.727621222562111,-1.547711769720368,-1.655348542831036,-1.1788273063342585,-1.488051770372182,-1.4511906787729296,-1.1577454016079523,-0.7033964615715222
willibr01,-5.431532342856428,-6.694171563205018,-6.149366414058701,-6.357463296727386,-5.912353406271236,-4.452366479231346,-4.840211839881631,-5.7283514897803025,-3.697292438401286,-5.97219334824981,-6.442898366753543
willica01,-5.61199112549626,-4.512534759148532,-3.9741397072834186,-4.163836239752166,-3.943749059713893,-2.7118665919460927,-2.9427364674488716,-3.822556927511593,-2.1057468876332783,-3.7846405864867814,-4.5371838727691545
willich01,-3.7290519159820796,-6.386623982798516,-5.843419021766035,-6.081549966353698,-5.8873603720185255,-3.92918847914453,-4.327952981820962,-5.716861028580391,-3.160610990767619,-5.613446808896039,-5.8890391691326185
willicy01,21.71338198745646,20.703149767247698,22.802606720338876,21.09255664160406,18.83072491727841,8.670133139236885,65.93747913680053,26.193827929762396,6.6611772868785115,21.880165188405048,30.278231613861887
willida01,-1.0762252210715932,-1.0710721228340525,-1.0217449828855316,-1.0005857813681247,-0.9305456025433023,-0.5742234932788275,-0.4128385279375592,-0.9388426750566615,0.0,-0.7472079904325841,-0.14946024447438752
willida02,-0.9145237035739318,-0.8668114801876032,-0.7749797443687864,-0.7736460667920912,-0.7146390416981477,-0.616173241699129,-0.4346026745565424,-0.6859034186604317,-0.6351280675562682,-0.6565874243488109,0.0
willida03,4.5981765731276045,5.204647597394673,4.6327140516823615,4.497735381769406,3.0737292664845346,1.1815731699462044,2.140956778223823,2.378566664610299,-0.4184047059570463,3.332657808679482,2.1028335188418024
willida04,-0.5685877436680642,-0.7343542934185765,-0.6240429328673758,-0.673080515323685,-0.6401687864913438,-0.4899809891747464,-0.5153180972323312,-0.5997808952237207,-0.3755026434211224,-0.6651226863665542,-0.7794103333194063
willida05,-1.9551641826278785,-1.6172269604007616,-1.525993613305209,-1.6130726022087585,-1.5453722829282708,-1.1446579245657613,-1.1386406567615905,-1.51689477657398,-0.8316089505766077,-1.3849067878614307,-1.6059232950306859
willida06,-0.9554201812235332,-0.8480038550663486,-0.7386340646725219,-0.7880643205536405,-0.6607979271686317,-0.5273513088141326,-0.5598803117740759,-0.7400024172669345,-0.4678526167072883,-0.7257991291208703,-0.8379151109306826
willida07,-5.885879200687864,-4.011259369890498,-4.030507206251735,-4.098553921981237,-3.9452128826058503,-2.9067015972734183,-3.2937685977336653,-3.7501462524618168,-2.4401313878242243,-3.7231316265493124,-2.8743594028090724
willide01,-1.7244036181993998,-1.552927689840165,-1.362193530688061,-1.5944270018650588,-2.4352767194214233,-1.549040104376967,-1.6819449446505983,-2.176594811942474,-1.0444815007241783,-1.3180045795435802,-2.2094178819140167
willide02,-1.1379637339290216,-1.4469638803489997,-1.552859242522046,-1.5619272972010245,-2.1503948603170624,-1.1105414000697214,-1.4888375190808047,-1.833023506902781,-1.5647975438065325,-1.1435761326791745,-1.204458409406232
willidi01,2.0368245590841836,2.0368231612170784,1.1115005717256363,1.5780210700008346,1.2681939010536567,-0.6663719944367316,2.3016215590985283,1.6720844059175641,-1.5387883377109255,1.3448314463746494,1.997074640157312
willidi02,5.313176460164431,5.067399058445521,3.632146326173392,4.801712728025102,8.791472257919,-2.1365910899872222,2.260516461224103,3.3593588104921523,-1.8934973285306227,1.1821437025248032,3.869653608792113
willido01,-3.0078795868066206,-2.244964110786952,-1.964042510797809,-2.0334322728875236,-1.9165948977529528,-0.9920752389435175,-1.5200999281324141,-1.8987644479471588,-0.9878655889494515,-1.9276385434146746,-2.553154558258842
willido02,-1.0315087385128598,-0.7658200449893408,-0.6630585868012191,-0.6923325995929562,-0.6401687864913438,-0.4899809891747464,-0.5153180972323312,-0.6402252310565971,-0.3755026434211224,-0.6651226863665542,-0.8472911105104648
willido03,-6.071480143387241,-4.584007542472777,-4.493916528418091,-4.437397863681421,-4.806060686572226,-0.5778590128156079,-3.7157172504259055,-4.422372857139094,-3.5006031519902647,-4.664144159402896,-4.812984387395354
williea01,-1.0285177677579007,-0.830703831452017,-0.712026839419478,-0.7636700017647361,-0.6984247827983158,-0.5812595799572261,-0.42204057054159466,-0.708145267432372,-0.5071181066968053,-0.6817036267341364,-0.8532096158184977
williea02,8.040169827204297,8.321548948544704,7.154942951969754,7.259478799055737,6.43912418681698,-1.7097338932969828,16.82300348831732,11.705397905207068,-3.262806055829447,7.070928897343366,12.3531924576285
willied01,-3.3465524526498442,-2.752450695482658,-2.7617148170174732,-2.7708385835317455,-3.2507184166839425,-4.423256472208799,-0.8854024921500749,-2.1913435010309845,-4.4323767837676185,-3.0050984607444597,-2.5627712549156927
willifr01,0.0075528634017058005,-5.2193128856351505,-4.6855665916528375,-4.858806045088765,-4.669457638206888,-3.234497389771194,-3.542833383581317,-4.506792982901745,-2.593473124372656,-4.388636713828097,-5.032103430514956
willige01,-2.0876069893622264,-1.5687453627935044,-1.4146896446389383,-1.4829660174077495,-1.145068975111438,-1.532727650309575,-1.503777278035738,-1.7024832778794634,-0.9977330976090613,-1.4629919466472547,-1.9530594781192296
willige02,7.87631311128709,4.548808895381416,5.379949353045072,3.5024874310711396,6.379699023369727,3.0559033771546043,1.9624778412895496,2.1536523986667286,9.40350527448667,-2.0107628532548905,3.3807266021756193
willige03,-0.6196423060627954,-0.7532484946311945,-0.6108298782477868,-0.8756164818158343,-0.9128689652376926,-0.6745446583834989,-0.8913345270016721,-0.9295845911525377,-1.6208619407354041,0.6826732162562665,-0.11394027777148896
willigl01,-0.813841363742636,-0.4559642472744865,-0.4993031838733961,-0.30697070254518366,-0.5155396333477308,-0.4162625046168522,-0.49241355947029447,-0.47715905060239894,-0.16104024029429412,-0.47311218480355405,-0.47655030416073746
willigu01,-1.0689026400452601,-1.0339778203861163,-0.8578320661220227,-0.9010671216775561,-0.8232820342071464,-0.7182460495396791,-0.5728779342834395,-0.8771118041744079,-0.6273081775730441,-0.8515732619570884,0.0
willigu02,3.6702838649140066,3.8456491317308825,3.2394743548840226,3.6147025245234734,3.6801651367109254,5.446945208185003,3.94226475190682,3.324168815336698,6.643504568685131,3.227119552282266,9.361538399143528
williha01,-0.20211345287649218,-0.15298668278100297,-0.29141319515508884,-0.4590147557188228,-0.34375645172766883,-0.3399707762077427,0.16623310692856558,0.0003903677849092374,-0.19927259521178817,0.7705335997266738,0.09014785163085881
williho01,-0.8834799130928883,-0.7937593191685479,-0.712026839419478,-0.7295661004388758,-0.6984247827983158,-0.5812595799572261,-0.42204057054159466,-0.708145267432372,-0.5071181066968053,-0.6345669115131198,-0.6466936637479526
willihu01,-3.832082456002444,-3.2183977520165286,-2.670379427555196,-2.942511679619134,-2.7110115156796546,-2.1278877307285446,-1.5042817264240984,-2.693707305014124,-1.8876858471863043,-2.5670622187653183,-3.094752890273634
willija01,-1.8236122792883869,-1.1533942930190593,-1.0852160418773562,-1.0981246806204474,-1.0582801324717193,-0.8078651050031656,-0.7956844298299732,-0.9594598364067565,-0.4873547195191621,-0.7592444957667509,-1.2071423341368288
willije01,-3.6202756511036487,-2.7200988549192275,-2.4133104234914993,-2.5591858608287623,-2.4832465932719767,-1.7805344638999698,-1.9779479622415266,-2.378139644319658,-1.5242345760823963,-2.287515973731837,-2.6391804997318253
willije02,-9.192035350030194,-7.697744587299317,-7.619006795007568,-7.6881880122288235,-7.331980988137424,-5.3004825448367265,-6.341901473494283,-7.306995387855913,-4.54823788981838,-7.227815754020512,-6.728347939755862
williji01,17.633311149496073,18.276033102596294,18.161755111276157,18.034938474397254,20.09955348946455,28.380261840098576,22.266271327019197,24.743409593983163,7.142709096388741,17.905633249557635,0.0
williji02,-1.6105109865694303,-1.4636643002773442,-1.2887644733929615,-1.3977050040462333,-1.3044766133012384,-1.065220766317747,-0.9810314657594097,-1.2439533078286114,-0.7460591007100024,-1.2817541617379118,-1.4082379897697035
williji03,-1.9061351582337407,-1.4416025460323918,-1.248594550905827,-1.3011706268115746,-1.287337995557107,-1.020759065114637,-0.9563073160392519,-1.2088398605096753,-0.6852666670367575,-1.2195122409294004,-1.4703652360474324
williji04,-1.7585218763307429,-1.3265729291902746,-1.0071045280263504,-1.1712564185050387,-1.1572421367221315,-1.0273740122304764,-0.9580137874814814,-1.177833483905228,-0.5066908994810613,-1.0972470698034769,-1.177261162084803
