RegularSeasonGamesAsHitter,RegularSeasonOBP,RegularSeasonSLG,RegularSeasonStolenBases,RegularSeasonGamesPitched,RegularSeasonERA,RegularSeasonShutouts,RegularSeasonSaves,RegularSeasonWHIP,RegularSeasonKPer9,PostSeasonGamesAsHitter,PostSeasonOBP,PostSeasonSLG,PostSeasonStolenBases,PostSeasonGamesPitched,PostSeasonERA,PostSeasonShutouts,PostSeasonSaves,PostSeasonWHIP,PostSeasonKPer9,AllStarAppearances,PitchingTripleCrowns,TripleCrowns,MVPs,RookieOfTheYears,WorldSeriesMVPs,CyYoungAwards,GoldGloves,AllStarGameMVPs,NLCSMVPs,ALCSMVPs,Label
66,0,0,0,66,4.343478,0,0,1.4217391,6.5739126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,6,4.5,0,0,1.6666667,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,11,4.0212765,1,0,1.1808511,3.7340424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.2777778,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.22222222,0,0,4,6.1807227,0,0,1.9879518,3.2530122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.29774126,0.25586855,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.23762377,0.26262626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,27,7.405714,0,0,1.9371428,3.5485713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0.05882353,0.05882353,0,394,4.2014475,0,0,1.4258142,6.3347406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.083333336,0.083333336,0,19,6.151899,0,0,1.8037975,4.1012654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.25,0,0,3,5.4,0,0,1.5428572,1.5428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.3027523,0.33333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,241,3.2,0,1,1.3333334,11.04,0,0,0,0,14,5.4,0,0,1.3,12.6,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,101,4.1055455,1,1,1.4973166,4.6610017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.1369863,0.16901408,0,68,4.764706,1,2,1.5160428,5.0534763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.25151515,0.34210527,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.30578512,0.45217392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.23453608,0.26027396,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.21341464,0.22435898,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,16,6.5607476,0,0,1.7943925,2.7757008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,0.3558776,0.3772706,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,229,6.0160108,0,1,1.6230822,5.6197467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.055555556,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
