playerID,batting_G,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_IBB,batting_HBP,batting_SH,batting_SF,batting_GIDP,batting_1B,batting_TB,batting_PA,batting_OBP,batting_AVG,batting_SLG,batting_OPS,batting_SBP,batting_BAbip,batting_ISO,batting_PowerSpeedNumber,batting_ABPerHR,batting_ABPerK
quintca01,4,13,0,0,0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,15.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
quirkja01,8,14,1,2,0,1,0,2,0,0.0,0,5,0.0,0.0,0.0,1.0,0.0,1,4,15.0,1.1111111111111112,1.125,1.375,2.486111111111111,0.0,1.1666666666666667,0.25,0.0,0.0,4.166666666666666
quiseda01,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raburry01,10,31,4,9,2,0,2,5,0,0.0,5,9,0.0,0.0,0.0,0.0,0.0,5,17,36.0,1.2703703703703704,0.9942028985507246,1.6318840579710145,2.9022544283413847,0.0,2.235294117647059,0.6376811594202898,0.0,11.5,8.916666666666666
racklma01,2,5,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
radboch01,3,10,1,1,0,0,0,2,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,1,1,11.0,0.18181818181818182,0.1,0.1,0.28181818181818186,0.0,0.14285714285714285,0.0,0.0,0.0,3.3333333333333335
radfopa01,3,7,1,0,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
radinsc01,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raineti01,34,126,18,34,7,0,1,6,3,3.0,14,15,1.0,0.0,1.0,1.0,4.0,26,44,141.0,2.6686227375034286,1.9740183792815371,2.654928989139515,5.323551726642944,1.5,2.240927960927961,0.6809106098579782,1.3333333333333333,19.0,90.5
ramiral03,4,12,1,3,0,0,0,2,0,0.0,1,1,0.0,0.0,0.0,2.0,0.0,3,3,15.0,0.26666666666666666,0.25,0.25,0.5166666666666666,0.0,0.23076923076923078,0.0,0.0,0.0,12.0
ramirar01,19,68,7,13,2,1,4,10,0,0.0,9,15,0.0,1.0,0.0,0.0,6.0,6,29,78.0,1.051923076923077,0.6903651903651904,1.4265734265734267,2.4784965034965034,0.0,0.6653594771241831,0.7362082362082362,0.0,26.666666666666664,21.233333333333334
ramirha01,13,45,7,16,5,1,1,9,2,0.0,6,7,3.0,2.0,0.0,0.0,2.0,9,26,53.0,1.371345029239766,1.061904761904762,1.6958333333333333,3.0671783625730997,2.0,1.1670329670329669,0.6339285714285714,1.0,16.0,11.0
ramirma01,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
